x y
-1162.11865758 4.37124500e-10
475.67061262 3.18329280e-09
2113.45988282 1.64513619e-08
3751.24915302 5.61388481e-08
5389.03842321 1.29416300e-07
7026.82769341 2.09364951e-07
8664.61696361 2.54413841e-07
10302.40623381 2.56913715e-07
11940.19550401 2.41378751e-07
13577.9847742 2.29860174e-07
15215.7740444 2.25849846e-07
16853.5633146 2.20468611e-07
18491.3525848 2.09350610e-07
20129.141855 2.01024335e-07
21766.9311252 2.05029535e-07
23404.72039539 2.16222450e-07
25042.50966559 2.23384713e-07
26680.29893579 2.26309656e-07
28318.08820599 2.34257351e-07
29955.87747619 2.52633971e-07
31593.66674638 2.75236402e-07
33231.45601658 2.90541449e-07
34869.24528678 2.96839643e-07
36507.03455698 3.08658455e-07
38144.82382718 3.39255402e-07
39782.61309737 3.83611792e-07
41420.40236757 4.28713487e-07
43058.19163777 4.70255827e-07
44695.98090797 5.15707324e-07
46333.77017817 5.71667440e-07
47971.55944836 6.38213185e-07
49609.34871856 7.31590592e-07
51247.13798876 8.99651333e-07
52884.92725896 1.21477640e-06
54522.71652916 1.76492179e-06
56160.50579935 2.65552923e-06
57798.29506955 4.02367334e-06
59436.08433975 6.02332434e-06
61073.87360995 8.76126216e-06
62711.66288015 1.22618925e-05
64349.45215035 1.65321401e-05
65987.24142054 2.15576389e-05
67625.03069074 2.70949213e-05
69262.81996094 3.25247795e-05
70900.60923114 3.69433403e-05
72538.39850134 3.93339546e-05
74176.18777153 3.89315658e-05
75813.97704173 3.57358987e-05
77451.76631193 3.06163295e-05
79089.55558213 2.48562652e-05
80727.34485233 1.95205814e-05
82365.13412252 1.51245705e-05
84002.92339272 1.17672898e-05
85640.71266292 9.40811504e-06
87278.50193312 7.90168225e-06
88916.29120332 6.97075132e-06
90554.08047351 6.34408627e-06
92191.86974371 5.87211431e-06
93829.65901391 5.50357198e-06
95467.44828411 5.22302780e-06
97105.23755431 5.01231809e-06
98743.0268245 4.85527585e-06
100380.8160947 4.74100413e-06
102018.6053649 4.63865263e-06
103656.3946351 4.51892572e-06
105294.1839053 4.38855644e-06
106931.9731755 4.27119625e-06
108569.76244569 4.17934019e-06
110207.55171589 4.10516090e-06
111845.34098609 4.04575246e-06
113483.13025629 4.02399388e-06
115120.91952649 4.04335486e-06
116758.70879668 4.07450410e-06
118396.49806688 4.10159756e-06
120034.28733708 4.15547853e-06
121672.07660728 4.28441023e-06
123309.86587748 4.46376011e-06
124947.65514767 4.61003076e-06
126585.44441787 4.69478323e-06
128223.23368807 4.77188843e-06
129861.02295827 4.88760594e-06
131498.81222847 5.01932475e-06
133136.60149866 5.12660548e-06
134774.39076886 5.20400830e-06
136412.18003906 5.24997789e-06
138049.96930926 5.23660043e-06
139687.75857946 5.12672455e-06
141325.54784965 4.90004037e-06
142963.33711985 4.57432435e-06
144601.12639005 4.18706740e-06
146238.91566025 3.75799273e-06
147876.70493045 3.29241212e-06
149514.49420065 2.81144787e-06
151152.28347084 2.35688913e-06
152790.07274104 1.95830887e-06
154427.86201124 1.62023763e-06
156065.65128144 1.34406769e-06
157703.44055164 1.12664004e-06
159341.22982183 9.48672402e-07
160979.01909203 7.91974083e-07
162616.80836223 6.59494151e-07
164254.59763243 5.61372291e-07
165892.38690263 5.01600548e-07
167530.17617282 4.75235184e-07
169167.96544302 4.66021001e-07
170805.75471322 4.54386720e-07
172443.54398342 4.35427921e-07
174081.33325362 4.20501898e-07
175719.12252381 4.13036116e-07
177356.91179401 3.98281472e-07
178994.70106421 3.71138067e-07
180632.49033441 3.48201558e-07
182270.27960461 3.39183076e-07
183908.0688748 3.33436857e-07
185545.858145 3.18317751e-07
187183.6474152 2.97612576e-07
188821.4366854 2.81983767e-07
190459.2259556 2.71318156e-07
192097.0152258 2.62996730e-07
193734.80449599 2.63153953e-07
195372.59376619 2.71497950e-07
197010.38303639 2.65803223e-07
198648.17230659 2.18818241e-07
200285.96157679 1.36662747e-07
201923.75084698 6.04645315e-08
203561.54011718 1.81715105e-08
205199.32938738 3.60767185e-09
206837.11865758 4.93892310e-10
