x y
1.35549313e-05 3.52541638e+01
2.58959085e-04 4.24478533e+01
5.04363239e-04 4.69120406e+01
7.49767393e-04 4.96415223e+01
9.95171547e-04 5.16419875e+01
1.24057570e-03 5.34892226e+01
1.48597986e-03 5.54087879e+01
1.73138401e-03 5.74019588e+01
1.97678816e-03 5.93913933e+01
2.22219232e-03 6.13331575e+01
2.46759647e-03 6.32720486e+01
2.71300063e-03 6.53737467e+01
2.95840478e-03 6.78688166e+01
3.20380893e-03 7.08875227e+01
3.44921309e-03 7.43403732e+01
3.69461724e-03 7.79708974e+01
3.94002140e-03 8.14899750e+01
4.18542555e-03 8.46584422e+01
4.43082970e-03 8.73493757e+01
4.67623386e-03 8.96427338e+01
4.92163801e-03 9.18427082e+01
5.16704216e-03 9.42882835e+01
5.41244632e-03 9.70468741e+01
5.65785047e-03 9.97798644e+01
5.90325463e-03 1.01961895e+02
6.14865878e-03 1.03263077e+02
6.39406293e-03 1.03724882e+02
6.63946709e-03 1.03637538e+02
6.88487124e-03 1.03343999e+02
7.13027540e-03 1.03106414e+02
7.37567955e-03 1.02939803e+02
7.62108370e-03 1.02475248e+02
7.86648786e-03 1.01151454e+02
8.11189201e-03 9.86756582e+01
8.35729617e-03 9.52505652e+01
8.60270032e-03 9.13662777e+01
8.84810447e-03 8.74852410e+01
9.09350863e-03 8.38936110e+01
9.33891278e-03 8.06593508e+01
9.58431694e-03 7.76110818e+01
9.82972109e-03 7.44003745e+01
1.00751252e-02 7.06795279e+01
1.03205294e-02 6.62940316e+01
1.05659336e-02 6.13690765e+01
1.08113377e-02 5.62311396e+01
1.10567419e-02 5.12102248e+01
1.13021460e-02 4.65092122e+01
1.15475502e-02 4.22485001e+01
1.17929543e-02 3.85076384e+01
1.20383585e-02 3.52214981e+01
1.22837626e-02 3.21360925e+01
1.25291668e-02 2.90099986e+01
1.27745709e-02 2.58401065e+01
1.30199751e-02 2.28202071e+01
1.32653792e-02 2.01255435e+01
1.35107834e-02 1.77975285e+01
1.37561876e-02 1.57784012e+01
1.40015917e-02 1.39763080e+01
1.42469959e-02 1.23084985e+01
1.44924000e-02 1.07355435e+01
1.47378042e-02 9.27550443e+00
1.49832083e-02 7.98567703e+00
1.52286125e-02 6.93000244e+00
1.54740166e-02 6.13954272e+00
1.57194208e-02 5.56411548e+00
1.59648249e-02 5.06682461e+00
1.62102291e-02 4.51328759e+00
1.64556332e-02 3.87991430e+00
1.67010374e-02 3.25324374e+00
1.69464416e-02 2.73237795e+00
1.71918457e-02 2.35440088e+00
1.74372499e-02 2.09514228e+00
1.76826540e-02 1.90785247e+00
1.79280582e-02 1.75615483e+00
1.81734623e-02 1.62288842e+00
1.84188665e-02 1.50005073e+00
1.86642706e-02 1.38013674e+00
1.89096748e-02 1.25914340e+00
1.91550789e-02 1.14176177e+00
1.94004831e-02 1.03746413e+00
1.96458872e-02 9.50530467e-01
1.98912914e-02 8.75100068e-01
2.01366956e-02 7.98357194e-01
2.03820997e-02 7.08075518e-01
2.06275039e-02 6.02309383e-01
2.08729080e-02 4.94561616e-01
2.11183122e-02 4.04916291e-01
2.13637163e-02 3.43856245e-01
2.16091205e-02 3.07206368e-01
2.18545246e-02 2.83951121e-01
2.20999288e-02 2.63637582e-01
2.23453329e-02 2.39750548e-01
2.25907371e-02 2.12706062e-01
2.28361413e-02 1.89274207e-01
2.30815454e-02 1.75637602e-01
2.33269496e-02 1.70268713e-01
2.35723537e-02 1.64452186e-01
2.38177579e-02 1.50269259e-01
2.40631620e-02 1.27063538e-01
2.43085662e-02 9.94429075e-02
2.45539703e-02 7.19478449e-02
2.47993745e-02 4.82208801e-02
2.50447786e-02 3.21983780e-02
2.52901828e-02 2.58746155e-02
2.55355869e-02 2.62051037e-02
2.57809911e-02 2.66858994e-02
2.60263953e-02 2.28481460e-02
2.62717994e-02 1.54456168e-02
2.65172036e-02 8.14447467e-03
2.67626077e-02 3.51671666e-03
2.70080119e-02 1.97318422e-03
2.72534160e-02 3.29265100e-03
2.74988202e-02 7.67716180e-03
2.77442243e-02 1.47920759e-02
2.79896285e-02 2.21055268e-02
2.82350326e-02 2.54911174e-02
2.84804368e-02 2.26837462e-02
2.87258409e-02 1.55980847e-02
2.89712451e-02 8.36995787e-03
2.92166493e-02 4.23441272e-03
2.94620534e-02 7.89749770e-03
